标的状态.还清,性别.女,年龄,学历.高中及以下,学历.研究生及以上,婚姻.已婚,婚姻.未婚,公司性质.民企,公司性质.单位,公司性质.其他,公司性质.优企,公司性质.外企,公司规模.100.500人,公司规模.10人以下,公司规模.500人以上,工作时间.1.3年,工作时间.1年以内,工作时间.3.5年,工作时间.无,投资人次,标的类型.实地认证标,标的类型.信用认证标,借款性质.个人消费,借款性质.购车购房,借款性质.婚礼筹备,借款性质.教育培训,借款性质.其他借款,借款性质.投资创业,借款性质.医疗支出,借款性质.装修借款,标的总额,年利率,期限.12个月,期限.13个月,期限.14个月,期限.15个月,期限.16个月,期限.18个月,期限.20个月,期限.21个月,期限.23个月,期限.24个月,期限.30个月,期限.36个月,期限.3个月,期限.48个月,期限.6个月,期限.8个月,期限.9个月,收入.5000元以下,收入.5000.10000元,收入.20000.50000元,收入.50000元以上,房产.TRUE,房贷.TRUE,车产.TRUE,车贷.TRUE,借款总额,申请借款,成功借款,还清笔数,逾期次数
1,0,46,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,44,1,0,0,0,0,0,0,0,0,0,94200,12.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,94200,1,1,0,0
1,0,38,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,116,1,0,1,0,0,0,0,0,0,0,125000,9.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,125000,1,1,1,0
1,1,32,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,158,1,0,1,0,0,0,0,0,0,0,94200,12.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,94200,1,1,1,0
1,1,48,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,48,1,0,1,0,0,0,0,0,0,0,58400,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,58400,1,1,1,0
1,0,57,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,43,1,0,1,0,0,0,0,0,0,0,47100,12.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,109300,2,2,2,0
1,0,43,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,65,1,0,0,0,0,0,0,0,0,0,28000,10.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,28000,1,1,1,0
1,0,52,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,96,1,0,0,0,0,0,0,0,0,0,81600,12.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,81600,1,1,1,0
1,1,34,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,86,1,0,0,0,0,0,0,1,0,0,207500,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,396500,2,2,1,0
1,0,29,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,13,0,1,0,1,0,0,0,0,0,0,19000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19000,3,1,1,0
1,1,26,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,53,1,0,0,0,0,0,0,0,0,0,40600,10.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40600,1,1,1,0
1,0,32,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,282,1,0,0,0,0,0,0,0,0,0,115400,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,115400,1,1,1,0
1,0,36,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,0,64700,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,64700,1,1,1,0
1,0,28,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,16,1,0,0,0,0,0,0,0,0,0,27700,9.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,27700,1,1,0,0
1,0,25,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,27,1,0,1,0,0,0,0,0,0,0,29100,9.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29100,1,1,0,0
1,1,41,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,492,1,0,0,0,0,0,0,0,0,0,101000,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,101000,1,1,1,0
1,1,35,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,35,1,0,0,0,0,0,0,0,0,0,62800,12.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,62800,1,1,1,0
1,0,31,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,12,1,0,0,0,0,0,0,0,0,0,44200,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,44200,1,1,0,0
1,0,35,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,43,1,0,0,0,0,0,0,0,0,0,43300,10.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,43300,1,1,1,0
1,1,24,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,13,0,1,0,0,0,0,0,0,0,1,19000,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,19000,1,1,1,0
1,0,40,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,42,0,0,0,0,0,0,0,0,0,0,60000,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,1,1,1,0
